Time,asks,bids,price
2020-05-12 04:00:00 UTC,13603475.7848985,14923834.4677033,8709.3435123967
2020-05-12 05:00:00 UTC,14148903.2854831,14921467.7503991,8748.72154205608
2020-05-12 06:00:00 UTC,14129214.2385012,15638274.7987428,8710.41714876033
2020-05-12 07:00:00 UTC,13260004.700998,16992817.1867837,8665.5702991453
2020-05-12 08:00:00 UTC,14057291.6166858,16190351.0575417,8726.40205128205
2020-05-12 09:00:00 UTC,14655465.5661941,15323576.5741703,8786.45677777778
2020-05-12 10:00:00 UTC,14957341.889203,15426725.7377217,8772.00327586207
2020-05-12 11:00:00 UTC,15505315.3181007,15269807.3323818,8761.90429752066
2020-05-12 12:00:00 UTC,14514219.8795494,14793788.434875,8766.8972
2020-05-12 13:00:00 UTC,13928542.3742745,15243822.7801103,8735.57701834862
2020-05-12 14:00:00 UTC,13610183.41095,14032438.4368705,8857.48023809524
2020-05-12 15:00:00 UTC,14053312.7533566,13138996.3722368,8898.7154368932
2020-05-12 16:00:00 UTC,14161134.6298372,12644090.2295425,8922.88876068376
2020-05-12 17:00:00 UTC,14828968.5193411,12984715.2972534,8923.70629807692
2020-05-12 18:00:00 UTC,14775739.8674728,14100794.6225054,8885.44128712871
2020-05-12 19:00:00 UTC,14291831.2936091,15678471.6770228,8887.53572033898
2020-05-12 20:00:00 UTC,13587735.3339958,15089920.1618907,8817.54338541667
2020-05-12 21:00:00 UTC,13448578.6724132,14975761.0707829,8819.96754385965
2020-05-12 22:00:00 UTC,13775178.3041973,15330235.9816796,8808.22313953488
2020-05-12 23:00:00 UTC,13806316.3233126,15696326.0979694,8819.99875
2020-05-13 00:00:00 UTC,14733101.227887,13911189.2475305,8905.03380733945
2020-05-13 01:00:00 UTC,15197740.2949771,13319601.9752511,8932.10123966942
2020-05-13 02:00:00 UTC,15276844.7689669,13615333.0805158,8936.36694244605
2020-05-13 03:00:00 UTC,16034992.7367251,13806666.8395475,8925.74008064516
2020-05-13 04:00:00 UTC,15556474.9532674,13962115.6212246,8905.20784615385
2020-05-13 05:00:00 UTC,16293664.4777444,13971911.5838331,8911.73974789916
2020-05-13 06:00:00 UTC,16254636.7830286,13886535.655524,8906.63298245614
2020-05-13 07:00:00 UTC,16398134.9817972,15148932.9795642,8893.189921875
2020-05-13 08:00:00 UTC,15746978.9842873,15169679.3504137,8882.3182
2020-05-13 09:00:00 UTC,16991275.1066957,14030915.1015851,8915.887734375
2020-05-13 10:00:00 UTC,17185167.3433317,13894231.0045672,8928.04995652174
2020-05-13 11:00:00 UTC,16267048.3043214,13520139.2373362,8983.84297520661
2020-05-13 12:00:00 UTC,17390218.491728,12395864.2971127,9045.87259398496
2020-05-13 13:00:00 UTC,18826430.1572813,11958824.4855979,9097.24585714286
2020-05-13 21:00:00 UTC,18033977.3032353,11691624.8853184,9357.15286585366
2020-05-13 22:00:00 UTC,18992867.9484881,13112837.7587639,9333.35119999999
2020-05-13 23:00:00 UTC,20990658.9952639,14632698.7236726,9325.68656521739
2020-05-14 00:00:00 UTC,20171242.6203786,14618296.1775588,9338.92413636364
2020-05-14 01:00:00 UTC,20144068.9704991,13024865.3446463,9306.01523809524
2020-05-14 02:00:00 UTC,20324541.6903554,12897337.4270357,9308.17034351144
2020-05-14 03:00:00 UTC,20619413.6594902,12967911.1420515,9333.76229508198
2020-05-14 04:00:00 UTC,21090719.4380397,13922962.3500046,9326.76653846154
2020-05-14 05:00:00 UTC,21295982.4145438,14590612.241026,9344.63842975206
2020-05-14 06:00:00 UTC,22512753.092143,14119814.0239884,9444.73833333333
2020-05-14 07:00:00 UTC,22718156.3264212,13733442.1055916,9485.54547368421
2020-05-14 08:00:00 UTC,23485645.2648277,12471362.6084819,9537.15991869919
2020-05-14 09:00:00 UTC,28032013.1261549,10836698.8264959,9722.15839449541
2020-05-14 10:00:00 UTC,25641681.7891853,10642672.3660888,9722.43336363636
2020-05-14 11:00:00 UTC,26227299.4215002,11357080.8963155,9724.26259090909
2020-05-14 12:00:00 UTC,23923338.7250145,13549450.5403657,9615.49411504424
2020-05-14 13:00:00 UTC,24649646.5694256,14128583.3156766,9611.62228571428
2020-05-14 14:00:00 UTC,27097650.6617482,13950691.3716843,9718.88920833333
2020-05-14 15:00:00 UTC,27557880.751828,14363611.5527736,9713.54254464286
2020-05-14 16:00:00 UTC,27219610.5810278,14898355.9475021,9678.91189655173
2020-05-14 17:00:00 UTC,27283402.005847,15256136.2759217,9635.25496212121
2020-05-14 18:00:00 UTC,27630513.2306503,13816950.4949587,9640.15158536585
2020-05-14 19:00:00 UTC,29302716.6929217,13424759.4575801,9701.21937984496
2020-05-14 20:00:00 UTC,31793054.4809025,13246548.206607,9673.90541666666
2020-05-14 21:00:00 UTC,32613998.6714994,14481991.3355982,9702.93288194445
2020-05-14 22:00:00 UTC,35009075.3691264,15382634.6016258,9776.65783216783
2020-05-14 23:00:00 UTC,35352059.1721499,15458157.8912596,9793.95036585366
2020-05-15 00:00:00 UTC,34400323.9955682,15506915.3433385,9774.28896428571
2020-05-15 01:00:00 UTC,35096495.1676605,15865278.925189,9754.85162601626
2020-05-15 02:00:00 UTC,30362593.1958875,13705127.6925185,9568.03313868613
2020-05-15 03:00:00 UTC,28397042.226132,13079712.6001765,9504.24087962963
2020-05-15 04:00:00 UTC,27729871.5941507,12275310.6895621,9474.83913265306
2020-05-15 05:00:00 UTC,28343551.8198126,13182216.3207997,9452.38322429906
2020-05-15 06:00:00 UTC,28288823.332056,13518114.6245857,9533.13914141414
2020-05-15 07:00:00 UTC,31135929.5117264,12313840.6236165,9638.83973958333
2020-05-15 08:00:00 UTC,30056583.6953532,11346595.3997541,9657.56255434783
2020-05-15 09:00:00 UTC,30203099.7591789,11905587.6487464,9618.56144859813
2020-05-15 10:00:00 UTC,29474723.9243692,12434009.6097726,9577.79130081301
2020-05-15 11:00:00 UTC,30447099.1311694,12287934.9120838,9606.343
2020-05-15 12:00:00 UTC,28429285.3761552,13155712.7099302,9545.46560150376
2020-05-15 13:00:00 UTC,28705859.121593,13948143.3126346,9543.73717557252
2020-05-15 14:00:00 UTC,32538486.0161928,14026826.0178127,9578.36960396039
2020-05-15 15:00:00 UTC,30167192.8068438,14835271.9220951,9482.03278688525
2020-05-15 16:00:00 UTC,30454449.3573672,15269915.4721977,9485.25924242424
2020-05-15 17:00:00 UTC,29607269.9565112,16605868.0084652,9467.59281818182
2020-05-15 18:00:00 UTC,29932948.9252055,17589482.6453451,9499.63710144927
